length,diameter
0,6
1,8.4
2,8.4
3,8.4
4,8.4
5,8.4
6,8.4
7,8.4
8,8.4
9,8.4
10,8.4
11,9.272727272
12,10.14545455
13,11.01818182
14,11.89090909
15,12.76363637
16,13.63636363
17,14.50909091
18,15.38181818
19,16.25454546
20,17.12727272
21,18
22,18.87272728
23,19.74545454
24,20.61818182
25,21.49090909
26,22.36363637
27,23.23636363
28,24.10909091
29,24.98181818
30,25.85454546
31,26.72727272
32,27.6
33,28.47272728
34,29.34545454
35,30.21818182
36,31.09090909
37,31.96363637
38,32.83636363
39,33.70909091
40,34.58181818
41,35.45454546
42,36.32727272
43,37.2
44,38.07272728
45,38.94545454
46,39.81818182
47,40.69090909
48,41.56363637
49,42.43636363
50,43.30909091
51,44.18181818
52,45.05454546
53,45.92727272
54,46.8
55,47.67272728
56,48.54545454
57,49.41818182
58,50.29090909
59,51.16363637
60,52.03636363
61,52.90909091
62,53.78181818
63,54.65454546
64,55.52727272
65,56.4
66,56.4
67,56.4
68,56.4
69,56.4
70,56.4
71,56.4
72,56.4
73,56.4
74,56.4
75,56.4
76,56.4
77,56.4
78,56.4
79,56.4
80,56.4
81,56.4
82,56.4
83,56.4
84,56.4
85,56.4
86,56.4
87,56.4
88,56.4
89,56.4
90,56.4
91,56.4
92,56.4
93,56.4
94,56.4
95,56.4
96,56.4
97,56.4
98,56.4
99,56.4
100,56.4
101,56.4
102,56.4
103,56.4
104,56.4
105,56.4
106,56.4
107,56.4
108,56.4
109,56.4
110,56.4
111,56.4
112,56.4
113,56.4
114,56.4
115,56.4
116,56.4
117,56.4
118,56.4
119,56.4
120,56.4
121,56.4
122,56.4
123,56.4
124,56.4
125,56.4
126,56.4
127,56.4
128,56.4
129,56.4
130,56.4
131,56.4
132,56.4
133,56.4
134,56.4
135,56.4
136,56.4
137,56.4
138,56.4
139,56.4
140,56.4
141,56.4
142,56.4
143,56.4
144,56.4
145,56.4
146,56.4
147,56.4
148,56.4
149,56.4
150,56.4
151,56.4
152,56.4
153,56.4
154,56.4
155,56.4
156,56.4
157,56.4
158,56.4
159,56.4
160,56.4
161,56.4
162,56.4
163,56.4
164,56.4
165,56.4
166,56.4
167,56.4
168,56.4
169,56.4
170,56.4
171,56.4
172,56.4
173,56.4
174,56.4
175,56.4
176,56.4
177,56.4
178,56.4
179,56.4
180,56.4
181,56.4
182,56.4
183,56.4
184,56.4
185,56.4
186,56.4
187,56.4
188,56.4
189,56.4
190,56.4
191,56.4
192,56.4
193,56.4
194,56.4
195,56.4
196,56.4
197,56.4
198,56.4
199,56.4
200,56.4
201,56.4
202,56.4
203,56.4
204,56.4
205,56.4
206,56.4
207,56.4
208,56.4
209,56.4
210,56.4
211,56.4
212,56.4
213,56.4
214,56.4
215,56.4
216,56.4
217,56.4
218,56.4
219,56.4
220,56.4
221,56.4
222,56.4
223,56.4
224,56.4
225,56.4
226,56.4
227,56.4
228,56.4
229,56.4
230,56.4
231,56.4
232,56.4
233,56.4
234,56.4
235,56.4
236,56.4
237,56.4
238,56.4
239,56.4
240,56.4
241,56.4
242,56.4
243,56.4
244,56.4
245,56.4
246,56.4
247,56.4
248,56.4
249,56.4
250,56.4
251,56.4
252,56.4
253,56.4
254,56.4
255,56.4
256,56.4
257,56.4
258,56.4
259,56.4
260,56.4
261,56.4
262,56.4
263,56.4
264,56.4
265,56.4
266,56.4
267,56.4
268,56.4
269,56.4
270,56.4
271,56.4
272,56.4
273,56.4
274,56.4
275,56.4
276,56.4
277,56.4
278,56.4
279,56.4
280,56.4
281,56.4
282,56.4
283,56.4
284,56.4
285,56.4
286,56.4
287,56.4
288,56.4
289,56.4
290,56.4
291,56.4
292,56.4
293,56.4
294,56.4
295,56.4
296,56.4
297,56.4
298,56.4
299,56.4
300,56.4
301,56.4
302,56.4
